German,Romanian
Kannst,Poate sa
nett,drăguț
Zu,La
kriegen,obține
Geht,Merge
Arsch,cur
kleinen,mic
Hab,Avea
weiss,alb
erste,primul
läuft,alergare
kommst,vino
Freundin,Iubita
Mensch,Persoană
beiden,ambii
Ding,lucru
niemals,nu
endlich,in cele din urma
Nimm,lua
muß,trebuie sa
gehst,merge
Heute,Astăzi
denkst,gândi
Herz,inima
Waffe,armă
Soll,Ar trebui să
tust,do
Dollar,dolar
nehme,lua
Schau,Uite
holen,aduce
oft,de multe ori
drauf,pe el
anderes,alte
Niemand,Nici unul
unten,de mai jos
Wagen,A indrazni
Yeah,Da
Schön,Grozav
wichtig,important
Mrs,D-na
hättest,ar fi avut
allen,toata lumea
Miss,domnisoara
ihrer,a lor
gedacht,gând
Nummer,număr
würdest,ar
erzählen,spune
bleibt,ramane
Auch,De asemenea
Hände,mâinile
Blut,sânge
Sehen,Vedea
bloß,doar
recht,dreapta
bringt,aduce
Bett,Pat
Lassen,Lăsa
Eltern,Părinţi
gefällt,va place
Schuld,Vina
eure,ta
Plan,plan
Krieg,Război
neuen,nou
Klar,clar
retten,salvare
guter,bunuri
während,in timp ce
ihrem,a lor
wären,va fi
Fehler,Greşeală
scheint,apare
Lasst,Frunze
gegeben,dat
An,La
hör,asculta
glücklich,fericit
verdammt,blestemat
alt,vechi
Platz,Loc
darum,prin urmare
Vielen,Mulți
falsch,incorect
unseren,a noastra
schlafen,dormi
Sagen,Spune
nächsten,Următorul
fünf,cinci
frei,gratuit
Sorge,Îngrijorări
Vor,Inainte de
fest,cu fermitate
bereits,deja
alleine,singur
Denn,Deoarece
Zwei,Două
Fragen,Întrebări
möglich,posibil
irgendwie,oarecum
Papa,Tată
lernen,învăța
gestern,ieri
hierher,Aici
Schiff,Navă
vier,patru
irgendwas,orice
Stimmt,Adevărat
Menge,Mulțime
keiner,nici unul
brauchst,nevoie
Typen,Tipuri
Dass,Acea
Stunde,Ora
Szene,scenă
Hölle,iad
einige,niste
Deshalb,Din acest motiv
geworden,deveni
Telefon,telefon
Darf,Mai
Feuer,Foc
Wollen,Vrei
Bin,A.m
Alter,Vechi
Captain,Căpitan
Aus,Din
Dieses,Acest
Probleme,Probleme
Jeder,Toata lumea
verstanden,înțeles
wann,Când
alten,vechi
gibt's,există
sondern,mai degraba
guten,bun
zwar,acesta este
eigenen,proprii
New,Nou
Körper,Corp
hört,aude
Zum,Pentru
gebe,da
Kumpel,Omule
Hund,Câine
nochmal,din nou
hab's,am înţeles
früh,din timp
Hören,Auzi
trinken,băutură
besten,Cel mai bun
meines,A mea
schaffen,crea
alte,vechi
Luft,Aer
Jemand,Cineva
dürfen,Mai
Meister,maestru
Erde,Pământ
Seit,De cand
Sicher,sigur
Hört,Asculta
Zukunft,Viitor
kaum,de abia
funktioniert,funcții
voll,deplin
Bleib,Stau
reicht,este suficient
weh,inflamat
stellen,loc
Siehst,Vedea
kleiner,mai mic
großen,imens
Waffen,arme
Büro,Birou
Wahl,Alegere
verlieren,pierde
Wochen,săptămâni
Damit,Cu acesta
Stück,Bucată
lieben,dragoste
allem,Tot
getroffen,întâlnit
äh,uh
Am,La
geschafft,Terminat
tue,do
gefallen,căzut
Tja,Bine
Boss,sef
überall,pretutindeni
Sieht,Vede
passieren,întâmpla
lustig,amuzant
Licht,Ușoară
gebracht,adus
nennen,a numi
Folge,Consecinţă
Gefühl,Sentiment
völlig,complet
denkt,gandeste
Schlüssel,Cheie
drüben,dincolo
Richtig,Corect
wieso,cum se face
Leuten,oameni
Buch,Carte
laufen,alerga
spielt,joacă
früher,mai devreme
Sein,Fi
krank,bolnav
gegangen,plecat
fand,găsite
Seine,A lui
Pass,pașaport
fühle,simt
Himmel,Cer
froh,bucuros
leicht,ușoară
direkt,direct
langsam,încet
wolltest,dorit
erinnern,tine minte
zuerst,primul
Krankenhaus,spital
Viel,Mult
beste,Cel mai bun
welche,care
genommen,Luat
Arzt,Medic
unserem,a noastra
Idiot,idiot
Machen,Face
glaubst,crede
jede,fiecare
Ohne,Fără
groß,mare
hattest,a avut
Äh,Uh
Jungen,băieți
Rest,odihnă
Unsere,Al nostru
versuche,încerca
Tagen,zile
nächste,Următorul
Entschuldigen,Scuză
Doktor,doctor
spricht,vorbeste
könnt,poate sa
hält,tine
Team,echipă
Verstanden,Înțeles
kämpfen,luptă
heiraten,se căsătoresc
könntest,ar putea
Wow,Wow
Etwas,Ceva
Straße,Stradă
Mist,La naiba
König,rege
redest,vorbi
kleines,mic
lebt,vieți
erklären,explica
worden,fost
Millionen,milioane
Wiedersehen,La revedere
Onkel,unchiule
kennst,stiu
sitzen,sta
dies,acest
weniger,mai putine
Kaffee,Cafea
ernst,serios
wollt,vrei
tragen,transporta
Zeug,Lucruri
trotzdem,în ciuda ei
Ihren,Ta
kaufen,Cumpără
Liste,listă
ändern,Schimbare
Kampf,Luptă
hasse,ură
Person,persoană
Mund,gură
umbringen,ucide
Präsident,presedinte
Boden,Podea
Wohin,Unde
machte,făcut
Party,parte
gefragt,a întrebat
Seht,Uite
irgendwo,undeva
kümmern,ai grijă
kennt,stie
verletzt,rănit
Habt,Avea
Nachricht,Știri
Willkommen,Bine ati venit
vielen,mulți
hart,greu
lasse,lăsa
total,total
Gefängnis,Temniță
außer,cu exceptia
Sicherheit,Securitate
Schnell,Rapid
wem,pe cine
ehrlich,sincer
interessiert,interesat
Sex,sex
sagten,a spus
ziehen,Trage
Welche,Care
Unser,Al nostru
Augenblick,moment
angerufen,numit
aufhören,Stop
Klasse,Clasă
Bild,Imagine
stark,puternic
Dies,Acest
Eure,Ta
zehn,zece
Sinn,sens
vorstellen,introduce
Traum,Vis
länger,mai lung
manchmal,uneori
anrufen,apel
sechs,şase
Arschloch,Idiotule
sollst,ar trebui să
gestorben,decedat
Tages,zi
war's,era
verschwinden,dispărea
Kraft,Putere
gesprochen,vorbit
heraus,afară de aici
genauso,doar noi
wärst,va fi
Eins,unu
damals,în acel moment
heißen,a fi chemat
Liebling,Dragă
wahrscheinlich,probabil
deshalb,din acest motiv
Stelle,Loc de munca
halt,Stop
erwartet,așteptat
solche,astfel de
meisten,cel mai
bringe,aduce
still,Liniște
umgebracht,ucis
Stimme,De acord
General,general
Geben,Da
Entschuldige,Îmi pare rău
Vergiss,A uita
rede,vorbire
führen,conduce
Bewegung,Circulaţie
höre,asculta
Sonst,In caz contrar
Geschäft,Afaceri
werdet,voi
konnten,ar putea
wartet,asteapta
Raus,Afară
